food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g
ASC305,Mango ice cream,asc_manual,525.33,125.69,11.14,3.40,7.62,11.01
ASC307,Fruit Ice cream (Phalon ka Ice cream),asc_manual,717.81,171.46,16.05,4.37,10.38,14.03
ASC308,Caramel ice cream,asc_manual,725.49,173.52,14.81,4.31,11.15,14.52
ASC309,Lemon souffle,asc_manual,705.67,168.51,13.43,6.95,10.02,11.67
ASC310,Orange souffle,asc_manual,704.69,168.28,14.20,6.80,9.73,12.31
ASC311,Vanilla souffle,asc_manual,786.62,187.85,14.78,7.71,11.19,12.86
ASC312,Chocolate souffle,asc_manual,792.69,189.32,14.74,7.88,11.36,12.69
ASC313,Pineapple souffle ,asc_manual,821.36,196.14,15.52,8.06,11.72,13.45
ASC314,Apple mousse,asc_manual,447.82,106.92,12.77,4.21,4.27,10.56
ASC315,Rich chocolate mousse,asc_manual,785.94,188.26,10.84,7.96,12.19,10.30
ASC316,Mango mousse,asc_manual,520.63,124.98,9.14,3.21,8.47,8.89
ASC317,Orange and pineapple cream,asc_manual,422.92,101.18,11.96,1.44,5.43,11.37
ASC318,Charlotte rousse,asc_manual,790.33,188.29,34.08,3.95,4.78,20.48
ASC319,Triffle pudding,asc_manual,493.52,116.97,18.24,2.93,3.93,13.89
ASC320,Snow flakes pudding,asc_manual,399.56,95.21,8.07,4.67,4.97,8.01
ASC321,Kulfi,asc_manual,413.82,98.43,11.30,3.21,4.70,10.39
ASC322,Steamed orange pudding,asc_manual,1163.99,278.03,41.53,2.34,12.04,26.53
ASC323,Meringue and rice pudding,asc_manual,474.30,112.93,14.60,4.84,4.05,10.87
ASC324,Cheese pudding,asc_manual,1190.38,285.01,19.27,11.29,18.37,18.63
ASC325,Chocolate pudding,asc_manual,891.10,211.96,29.59,3.55,9.48,20.68
ASC326,Bread and butter pudding ,asc_manual,705.95,167.94,19.63,5.59,7.88,11.84
ASC327,Queen of pudding,asc_manual,558.58,132.92,16.35,5.51,5.38,11.77
ASC328,Pineapple upside down pudding,asc_manual,1079.36,257.73,35.73,3.15,11.91,22.16
ASC329,Date and nut pie,asc_manual,1348.65,322.42,46.86,3.93,13.31,31.18
ASC330,Stewed apple with custard,asc_manual,392.17,92.87,18.36,1.27,1.82,15.46
ASC331,Apple snowballs,asc_manual,428.91,101.51,24.58,0.86,0.31,19.40
ASC332,Hot orange souffle,asc_manual,754.48,179.97,18.77,6.87,8.95,14.93
ASC333,Hot chocolate souffle,asc_manual,948.77,226.09,26.21,6.70,11.10,22.88
ASC334,Hot vanilla souffle,asc_manual,809.97,192.93,21.77,6.87,9.07,18.17
ASC335,Plain burfi (Burfi),asc_manual,1705.52,408.32,30.88,9.82,27.96,30.43
ASC336,Coconut burfi (Nariyal ki burfi),asc_manual,1956.59,467.64,32.15,8.81,34.63,31.50
ASC337,Bottle gourd burfi (Ghiya/Lauki burfi),asc_manual,1153.35,275.96,24.51,5.86,17.68,23.92
ASC338,Chocolate burfi,asc_manual,1425.19,339.33,33.15,13.00,17.86,32.38
ASC339,Cashewnut burfi (Kaju burfi/Kaju katli),asc_manual,1763.94,421.74,37.92,5.48,28.46,31.43
ASC340,Gram flour burfi (Besan burfi),asc_manual,1768.65,421.79,46.59,11.19,22.41,28.44
ASC341,Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),asc_manual,1796.19,428.71,52.86,6.71,21.86,33.28
ASC342,Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),asc_manual,1942.70,464.43,50.90,5.68,27.03,27.32
ASC343,Gram flour ladoo (Besan ladoo),asc_manual,2001.49,476.91,62.61,8.93,22.76,37.76
ASC344,Sesame ladoo (Til ke ladoo),asc_manual,1660.91,396.96,43.50,10.70,19.64,38.63
ASC345,Chenna murki,asc_manual,1066.03,252.69,36.01,10.46,8.20,35.55
ASC346,Milk cake,asc_manual,531.52,127.41,9.13,3.01,8.93,8.90
ASC347,Ghujia/Lavang latika,asc_manual,3168.67,768.98,13.00,1.86,78.93,6.08
ASC348,Gulab Jamun with khoya,asc_manual,2425.40,586.06,26.09,2.03,53.23,24.12
ASC349,Mal pua,asc_manual,2339.17,566.68,17.56,1.71,54.64,11.77
ASC350,Shahi tukre,asc_manual,806.27,189.81,41.46,2.76,2.54,34.70
ASC351,Potato pakora/pakoda (Aloo pakoda),asc_manual,2788.18,677.19,6.04,1.90,71.84,0.22
ASC352,Onion pakora/pakoda (Pyaaz ke pakode),asc_manual,2777.39,674.61,5.41,1.90,71.84,0.88
ASC353,Cauliflower pakora/pakoda (Phoolgobhi ke pakode),asc_manual,2764.93,671.63,4.52,1.98,71.86,0.23
ASC354,Mixed vegetable pakora/pakoda,asc_manual,2774.04,673.81,5.12,1.94,71.86,0.38
ASC355,Spinach pakora/pakoda (Palak pakoda),asc_manual,2933.57,712.62,4.68,1.96,76.38,0.20
ASC356,Methi pakora/pakoda (Methi ke pakode),asc_manual,2936.21,713.25,4.68,2.06,76.39,0.25
ASC357,Egg pakora/pakoda (Ande ke pakode),asc_manual,2925.47,710.51,4.48,2.83,75.86,0.19
ASC358,Bread pakora/pakoda,asc_manual,2929.73,710.99,8.87,2.57,74.20,0.46
ASC359,Paneer pakora/pakoda,asc_manual,2957.51,718.12,5.52,3.27,76.05,1.08
ASC360,Potato bonda (Aloo bonda),asc_manual,2604.02,632.84,4.53,1.09,67.80,0.27
ASC361,Potato samosa (Aloo ka samosa),asc_manual,2377.14,577.39,9.21,1.71,59.19,0.29
ASC362,Minced meat samosa (Keema ka samosa),asc_manual,2557.26,620.99,6.14,4.43,64.26,0.50
ASC363,Paneer and pea samosa (Paneer matar ka samosa),asc_manual,2569.60,623.81,8.55,4.02,63.65,1.69
ASC364,Mathri,asc_manual,3314.32,805.12,12.32,1.75,83.10,0.29
ASC365,Khasta kachori,asc_manual,2934.90,712.73,12.81,2.51,72.27,0.34
ASC366,Vegetable cutlet,asc_manual,2738.50,665.45,4.68,1.25,71.33,0.35
ASC367,Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),asc_manual,2888.94,701.71,7.39,1.76,73.89,0.27
ASC368,Peanut cutlet (Mungfali ke cutlet),asc_manual,2878.02,698.77,5.68,2.63,74.00,0.51
ASC369,Fish cutlet (Machli ka cutlet),asc_manual,2693.96,654.64,3.13,2.77,70.11,0.29
ASC370,Paneer potato cutlet (Paneer aloo cutlet),asc_manual,2770.57,672.94,5.23,2.47,71.40,1.02
ASC371,Spinach chickpeas cutlet (Palak channa dal cutlet),asc_manual,2831.18,688.03,4.93,1.44,73.60,0.16
ASC372,Cheese toast,asc_manual,3233.23,785.37,5.49,1.98,84.11,0.53
ASC375,Vegetable burger,asc_manual,2144.45,519.93,13.69,3.26,50.63,1.88
ASC376,Cheese pizza,asc_manual,1047.50,249.50,30.62,5.79,12.43,3.42
ASC377,Vegetable seekh kebab,asc_manual,2843.04,690.73,5.32,1.57,73.72,0.74
ASC378,Masala vada,asc_manual,3397.89,826.02,4.06,1.69,89.15,0.24
ASC379,Peanut sago vada (Sabudana mungfali vada),asc_manual,3087.61,749.89,7.14,1.01,79.82,0.19
ASC380,Vegeterian scotch egg,asc_manual,2805.97,681.67,4.64,2.16,72.77,0.23
ASC381,Paneer shaslik/tikka,asc_manual,392.27,93.85,7.98,5.11,4.49,4.61
ASC382,Peanut brittle (Moongfali ki chikki),asc_manual,1340.21,320.46,47.46,6.94,11.13,43.92
ASC383,Spring roll,asc_manual,2568.38,623.87,8.56,1.81,64.63,0.60
ASC384,Dry mango chutney (Sookhe aam ki chutney),asc_manual,1247.30,298.13,69.17,2.43,0.70,61.86
ASC385,Peanut chutney (Mungfali ki chutney),asc_manual,1081.16,258.37,9.87,11.80,19.06,2.76
ASC386,Coconut chutney (Nariyal ki chutney),asc_manual,1110.19,265.92,8.29,3.59,25.00,3.79
ASC387,Mint and coriander chutney (Pudinay aur dhaniye ki chutney),asc_manual,430.47,102.60,21.18,2.81,0.51,15.88
ASC395,Custard tart,asc_manual,940.77,225.60,28.66,3.72,10.73,9.31
ASC396,Lemon tart,asc_manual,1262.30,303.35,30.68,6.12,17.45,10.68
ASC397,Jam tart,asc_manual,1498.57,360.72,46.18,4.42,17.35,14.74
ASC398,Orange cream tart,asc_manual,822.52,197.16,27.43,2.58,8.72,10.08
ASC399,Pineapple tart,asc_manual,817.46,195.40,28.62,2.29,8.21,11.09
ASC400,Cheese and mushroom tart,asc_manual,1022.00,246.10,21.43,5.51,15.28,3.16
ASC401,Cottage cheese pie,asc_manual,992.89,238.98,20.66,7.45,13.83,3.62
ASC402,Minced meat pie,asc_manual,919.66,221.55,18.11,7.38,13.04,1.42
ASC403,Apple cinnamon pie,asc_manual,1077.36,258.73,33.68,3.35,12.21,11.95
ASC404,Lemon meringue pie,asc_manual,941.79,224.43,35.11,3.88,8.16,21.17
ASC405,Chocolate meringue pie,asc_manual,899.79,214.76,28.80,4.98,9.17,15.03
ASC407,Cream puffs,asc_manual,919.45,221.33,16.00,4.70,15.48,5.94
ASC408,Chocolate eclairs,asc_manual,1000.02,239.42,26.22,4.24,13.50,17.34
ASC409,Cheese balls,asc_manual,2803.78,681.28,4.81,2.21,72.57,0.63
ASC411,Mince
